----,
DateTime:,      2022/10/23, 14:30:23, 1666495823179,
PIF:,            942.72,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           5,    1, 
S/N Ratio:,  2022.32,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.128,     332.454,      0.000,
    2,        3.3,    172.349,     335.182,      0.000,
    3,        5.8,    171.774,     337.919,      0.000,
    4,        8.3,    171.876,     338.034,      0.000,
    5,       10.8,    171.954,     338.424,      0.000,
    6,       13.3,    171.958,     339.811,      0.000,
    7,       15.8,    172.170,     340.925,      0.000,
    8,       18.3,    172.317,     341.975,      0.000,
    9,       20.8,    172.298,     343.016,      0.000,
   10,       23.3,    172.274,     344.367,      0.000,
   11,       25.8,    172.066,     345.191,      0.000,
   12,       28.3,    172.232,     346.430,      0.000,
   13,       30.8,    172.168,     347.624,      0.000,
   14,       33.3,    172.155,     348.751,      0.000,
   15,       35.8,    172.355,     349.903,      0.000,
   16,       38.3,    172.196,     350.809,      0.000,
   17,       40.8,    172.251,     352.299,      0.000,
   18,       43.3,    172.448,     352.606,      0.000,
   19,       45.8,    172.332,     354.105,      0.000,
   20,       48.3,    172.391,     354.471,      0.000,
   21,       50.8,    172.378,     355.773,      0.000,
   22,       53.3,    172.292,     356.968,      0.000,
   23,       55.8,    172.406,     357.366,      0.000,
   24,       58.3,    172.202,     358.166,      0.000,
   25,       60.8,    172.385,     358.899,      0.000,
   26,       63.3,    172.448,     360.377,      0.000,
   27,       65.8,    172.388,     360.867,      0.000,
   28,       68.3,    172.425,     361.895,      0.000,
   29,       70.8,    172.209,     362.756,      0.000,
   30,       73.3,    172.244,     363.527,      0.000,
   31,       75.8,    172.400,     363.749,      0.000,
   32,       78.3,    172.503,     364.473,      0.000,
