----,
DateTime:,      2022/10/23, 14:41:02, 1666496461863,
PIF:,            935.06,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           5,    1, 
S/N Ratio:,  1731.13,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.083,     282.248,      0.000,
    2,        3.3,    172.533,     284.640,      0.000,
    3,        5.8,    171.892,     287.041,      0.000,
    4,        8.3,    171.994,     287.274,      0.000,
    5,       10.8,    172.203,     288.158,      0.000,
    6,       13.3,    172.076,     289.224,      0.000,
    7,       15.8,    172.092,     289.942,      0.000,
    8,       18.3,    172.272,     290.975,      0.000,
    9,       20.8,    172.416,     292.269,      0.000,
   10,       23.3,    172.327,     293.460,      0.000,
   11,       25.8,    172.281,     294.426,      0.000,
   12,       28.3,    172.284,     295.723,      0.000,
   13,       30.8,    172.318,     296.836,      0.000,
   14,       33.3,    171.981,     297.760,      0.000,
   15,       35.8,    172.375,     299.114,      0.000,
   16,       38.3,    172.281,     300.155,      0.000,
   17,       40.8,    172.304,     301.417,      0.000,
   18,       43.3,    172.403,     301.816,      0.000,
   19,       45.8,    172.450,     303.414,      0.000,
   20,       48.3,    172.313,     304.262,      0.000,
   21,       50.8,    172.301,     305.363,      0.000,
   22,       53.3,    172.280,     305.959,      0.000,
   23,       55.8,    172.427,     307.193,      0.000,
   24,       58.3,    172.384,     307.984,      0.000,
   25,       60.8,    172.405,     308.798,      0.000,
   26,       63.3,    172.273,     309.641,      0.000,
   27,       65.8,    172.343,     310.735,      0.000,
   28,       68.3,    172.478,     311.923,      0.000,
   29,       70.8,    172.359,     312.618,      0.000,
   30,       73.3,    172.232,     313.459,      0.000,
   31,       75.8,    172.420,     314.213,      0.000,
   32,       78.3,    172.458,     314.962,      0.000,
