----,
DateTime:,      2022/10/23, 18:18:45, 1666509524815,
PIF:,            703.80,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  2208.70,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.109,     519.265,      0.000,
    2,        3.3,    172.424,     527.137,      0.000,
    3,        5.8,    171.750,     535.031,      0.000,
    4,        8.3,    171.787,     540.269,      0.000,
    5,       10.8,    172.060,     545.622,      0.000,
    6,       13.3,    172.257,     551.764,      0.000,
    7,       15.8,    172.112,     557.562,      0.000,
    8,       18.3,    172.258,     564.291,      0.000,
    9,       20.8,    172.272,     570.652,      0.000,
   10,       23.3,    172.248,     577.140,      0.000,
   11,       25.8,    172.299,     583.672,      0.000,
   12,       28.3,    172.399,     590.312,      0.000,
   13,       30.8,    172.239,     597.106,      0.000,
   14,       33.3,    172.323,     603.112,      0.000,
   15,       35.8,    172.295,     609.720,      0.000,
   16,       38.3,    172.363,     615.713,      0.000,
   17,       40.8,    172.289,     622.807,      0.000,
   18,       43.3,    172.323,     628.802,      0.000,
   19,       45.8,    172.305,     634.800,      0.000,
   20,       48.3,    172.395,     639.381,      0.000,
   21,       50.8,    172.285,     645.153,      0.000,
   22,       53.3,    172.297,     649.909,      0.000,
   23,       55.8,    172.314,     654.964,      0.000,
   24,       58.3,    172.401,     660.895,      0.000,
   25,       60.8,    172.260,     665.921,      0.000,
   26,       63.3,    172.355,     670.689,      0.000,
   27,       65.8,    172.359,     676.826,      0.000,
   28,       68.3,    172.397,     681.427,      0.000,
   29,       70.8,    172.343,     685.451,      0.000,
   30,       73.3,    172.346,     691.170,      0.000,
   31,       75.8,    172.339,     696.479,      0.000,
   32,       78.3,    172.345,     700.444,      0.000,
