----,
DateTime:,      2022/10/23, 18:08:45, 1666508925404,
PIF:,            696.67,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  2499.09,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.195,     651.405,      0.000,
    2,        3.3,    172.346,     662.991,      0.000,
    3,        5.8,    171.803,     674.604,      0.000,
    4,        8.3,    171.742,     683.727,      0.000,
    5,       10.8,    171.950,     692.627,      0.000,
    6,       13.3,    172.018,     701.897,      0.000,
    7,       15.8,    172.067,     709.098,      0.000,
    8,       18.3,    172.149,     719.820,      0.000,
    9,       20.8,    172.162,     729.984,      0.000,
   10,       23.3,    172.203,     741.381,      0.000,
   11,       25.8,    172.287,     751.526,      0.000,
   12,       28.3,    172.193,     762.707,      0.000,
   13,       30.8,    172.291,     773.222,      0.000,
   14,       33.3,    172.343,     782.822,      0.000,
   15,       35.8,    172.315,     793.030,      0.000,
   16,       38.3,    172.318,     803.424,      0.000,
   17,       40.8,    172.308,     813.165,      0.000,
   18,       43.3,    172.181,     822.608,      0.000,
   19,       45.8,    172.325,     832.594,      0.000,
   20,       48.3,    172.350,     841.351,      0.000,
   21,       50.8,    172.305,     849.771,      0.000,
   22,       53.3,    172.316,     858.112,      0.000,
   23,       55.8,    172.398,     866.907,      0.000,
   24,       58.3,    172.259,     874.694,      0.000,
   25,       60.8,    172.505,     882.282,      0.000,
   26,       63.3,    172.310,     889.331,      0.000,
   27,       65.8,    172.347,     897.297,      0.000,
   28,       68.3,    172.319,     904.604,      0.000,
   29,       70.8,    172.395,     910.835,      0.000,
   30,       73.3,    172.333,     917.488,      0.000,
   31,       75.8,    172.359,     924.640,      0.000,
   32,       78.3,    172.365,     929.764,      0.000,
