----,
DateTime:,      2022/10/23, 13:14:11, 1666491251674,
PIF:,          -1331.91,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    1, 
S/N Ratio:,  2608.21,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,
    1,        0.8,    172.092,     638.007,
    2,        3.3,    172.415,     652.213,
    3,        5.8,    171.710,     666.444,
    4,        8.3,    171.845,     677.024,
    5,       10.8,    172.120,     687.574,
    6,       13.3,    172.058,     699.652,
    7,       15.8,    172.205,     709.877,
    8,       18.3,    172.223,     721.079,
    9,       20.8,    172.106,     733.894,
   10,       23.3,    172.213,     748.433,
   11,       25.8,    172.297,     760.106,
   12,       28.3,    172.300,     772.423,
   13,       30.8,    172.237,     784.801,
   14,       33.3,    172.126,     797.638,
   15,       35.8,    172.327,     809.723,
   16,       38.3,    172.330,     821.230,
   17,       40.8,    172.353,     832.993,
   18,       43.3,    172.453,     844.594,
   19,       45.8,    172.304,     855.398,
   20,       48.3,    172.526,     866.674,
   21,       50.8,    172.285,     874.860,
   22,       53.3,    172.329,     886.029,
   23,       55.8,    172.411,     896.399,
   24,       58.3,    172.434,     905.631,
   25,       60.8,    172.259,     914.068,
   26,       63.3,    172.388,     923.504,
   27,       65.8,    172.360,     931.618,
   28,       68.3,    172.365,     940.449,
   29,       70.8,    172.312,     948.640,
   30,       73.3,    172.282,     955.990,
   31,       75.8,    172.406,     962.314,
   32,       78.3,    172.314,     969.693,
   33,       80.8,    172.514,     976.893,
   34,       83.3,    172.392,     983.539,
   35,       85.8,    172.355,     990.306,
   36,       88.3,    172.413,     997.403,
   37,       90.8,    172.415,    1002.448,
   38,       93.3,    172.269,    1008.188,
   39,       95.8,    172.362,    1014.247,
   40,       98.3,    172.303,    1019.209,
   41,      100.8,    172.348,    1024.443,
   42,      103.3,    172.304,    1029.723,
   43,      105.8,    172.375,    1034.348,
   44,      108.3,    172.264,    1039.079,
   45,      110.8,    172.220,    1044.009,
   46,      113.3,    172.291,    1049.259,
   47,      115.8,    172.212,    1052.696,
   48,      118.3,    172.265,    1057.204,
   49,      120.8,    172.297,    1062.127,
   50,      123.3,    172.171,    1064.741,
   51,      125.8,    172.345,    1069.662,
   52,      128.3,    172.228,    1073.110,
   53,      130.8,    172.172,    1075.927,
   54,      133.3,    172.101,    1080.276,
   55,      135.8,    172.212,    1084.430,
   56,      138.3,    172.319,    1087.059,
   57,      140.8,    172.193,    1090.218,
   58,      143.3,    172.125,    1093.488,
   59,      145.8,    172.114,    1095.815,
   60,      148.3,    172.248,    1099.816,
   61,      150.8,    172.158,    1103.029,
   62,      153.3,    172.208,    1105.490,
   63,      155.8,    172.126,    1108.722,
   64,      158.3,    172.132,    1111.176,
   65,      160.8,    172.148,    1114.543,
   66,      163.3,    172.115,    1116.572,
   67,      165.8,    172.065,    1118.973,
   68,      168.3,    172.170,    1121.212,
   69,      170.8,    172.101,    1124.093,
   70,      173.3,    172.222,    1126.055,
   71,      175.8,    172.070,    1129.553,
   72,      178.3,    172.211,    1131.549,
   73,      180.8,    172.303,    1134.092,
   74,      183.3,    172.170,    1135.448,
   75,      185.8,    172.097,    1137.175,
   76,      188.3,    172.106,    1140.128,
   77,      190.8,    172.175,    1141.735,
   78,      193.3,    172.064,    1144.141,
   79,      195.8,    172.023,    1145.116,
   80,      198.3,    172.126,    1147.637,
   81,      200.8,    172.246,    1150.049,
   82,      203.3,    172.110,    1151.940,
   83,      205.8,    171.961,    1153.669,
   84,      208.3,    172.119,    1155.887,
   85,      210.8,    172.118,    1157.031,
   86,      213.3,    171.985,    1158.165,
   87,      215.8,    171.950,    1160.983,
   88,      218.3,    172.075,    1162.411,
   89,      220.8,    172.002,    1164.977,
   90,      223.3,    171.976,    1166.157,
   91,      225.8,    172.026,    1167.334,
   92,      228.3,    171.775,    1169.305,
   93,      230.8,    171.914,    1170.284,
   94,      233.3,    172.025,    1171.545,
   95,      235.8,    172.031,    1173.394,
   96,      238.3,    172.052,    1174.163,
   97,      240.8,    172.014,    1175.199,
   98,      243.3,    171.952,    1176.929,
   99,      245.8,    171.985,    1178.704,
  100,      250.8,    171.039,    1182.282,
  101,      273.3,    171.735,    1182.200,
  102,      295.8,    171.843,    1163.751,
  103,      318.3,    171.892,    1145.718,
  104,      343.3,    171.720,    1124.981,
  105,      368.3,    171.802,    1108.046,
  106,      395.8,    171.794,    1089.262,
  107,      423.3,    171.724,    1074.175,
  108,      453.3,    171.726,    1058.605,
  109,      483.3,    171.770,    1045.215,
  110,      515.8,    171.782,    1033.310,
  111,      550.8,    171.835,    1020.989,
  112,      585.8,    171.714,    1011.299,
  113,      623.3,    171.822,    1000.661,
  114,      663.3,    171.552,     990.772,
  115,      705.8,    171.753,     983.363,
  116,      748.3,    171.646,     974.933,
  117,      793.3,    171.791,     967.292,
  118,      840.8,    171.455,     960.663,
  119,      890.8,    171.612,     953.268,
  120,      943.3,    171.522,     946.582,
  121,      998.3,    171.607,     939.476,
  122,     1055.8,    171.619,     933.777,
  123,     1115.8,    171.591,     928.014,
  124,     1178.3,    171.619,     921.983,
  125,     1245.8,    171.475,     915.310,
  126,     1315.8,    171.534,     909.823,
  127,     1388.3,    171.613,     903.441,
  128,     1465.8,    171.546,     897.899,
  129,     1545.8,    171.575,     891.460,
  130,     1630.8,    171.472,     886.145,
  131,     1720.8,    171.562,     880.006,
  132,     1815.8,    171.759,     876.073,
  133,     1913.3,    171.689,     869.499,
  134,     2015.8,    171.500,     864.713,
  135,     2123.3,    171.567,     860.105,
  136,     2238.3,    171.484,     854.600,
  137,     2358.3,    171.630,     850.488,
  138,     2483.3,    171.712,     845.478,
  139,     2615.8,    171.654,     841.693,
  140,     2753.3,    171.865,     836.057,
  141,     2898.3,    171.840,     832.896,
  142,     3050.8,    171.810,     829.713,
  143,     3210.8,    171.749,     824.807,
  144,     3378.3,    171.778,     820.024,
  145,     3555.8,    171.847,     816.107,
  146,     3740.8,    171.881,     813.488,
  147,     3935.8,    171.991,     809.468,
  148,     4140.8,    171.945,     805.918,
  149,     4355.8,    172.096,     802.496,
  150,     4580.8,    172.060,     799.760,
  151,     4818.3,    172.068,     795.104,
  152,     5068.3,    172.092,     792.708,
  153,     5330.8,    172.173,     790.265,
  154,     5605.8,    172.042,     787.241,
  155,     5895.8,    172.214,     784.514,
  156,     6200.8,    172.149,     782.082,
  157,     6520.8,    172.167,     778.553,
  158,     6855.8,    172.310,     776.983,
  159,     7208.3,    172.241,     774.318,
  160,     7578.3,    172.313,     772.986,
  161,     7965.8,    172.122,     770.805,
  162,     8373.3,    172.148,     768.627,
  163,     8800.8,    172.324,     766.041,
  164,     9250.8,    172.253,     764.181,
  165,     9723.3,    172.227,     761.556,
  166,    10220.8,    172.210,     758.759,
  167,    10743.3,    172.361,     757.553,
  168,    11290.8,    172.393,     755.599,
  169,    11865.8,    172.279,     753.591,
  170,    12470.8,    172.248,     752.505,
  171,    13105.8,    172.095,     749.880,
  172,    13773.3,    172.305,     747.879,
  173,    14475.8,    172.359,     746.812,
  174,    15213.3,    172.441,     744.480,
  175,    15988.3,    172.294,     741.618,
  176,    16800.8,    172.275,     741.647,
  177,    17655.8,    172.181,     739.286,
  178,    18553.3,    172.199,     737.833,
  179,    19495.8,    172.170,     735.642,
  180,    20485.8,    172.192,     734.132,
  181,    21525.8,    172.227,     731.893,
  182,    22618.3,    172.122,     730.635,
  183,    23768.3,    172.270,     728.956,
  184,    24975.8,    172.191,     727.223,
  185,    26243.3,    172.297,     725.252,
  186,    27575.8,    172.327,     723.485,
  187,    28975.8,    172.172,     722.409,
  188,    30445.8,    172.184,     720.494,
  189,    31990.8,    172.348,     718.828,
  190,    33613.3,    172.105,     717.228,
  191,    35318.3,    172.063,     715.529,
  192,    37108.3,    172.335,     713.134,
  193,    38990.8,    172.027,     711.905,
  194,    40968.3,    172.287,     709.986,
  195,    43045.8,    172.200,     709.359,
  196,    45228.3,    172.221,     707.003,
  197,    47520.8,    172.226,     705.635,
  198,    49928.3,    172.169,     705.006,
  199,    52458.3,    172.081,     702.041,
  200,    55115.8,    172.345,     701.238,
  201,    57908.3,    172.242,     701.188,
  202,    60843.3,    172.095,     699.383,
  203,    63925.8,    172.221,     698.621,
  204,    67163.3,    172.206,     696.944,
  205,    70565.8,    172.132,     695.831,
  206,    74140.8,    172.158,     695.047,
  207,    77895.8,    172.128,     692.931,
  208,    81840.8,    172.165,     693.111,
  209,    85985.8,    172.181,     690.693,
  210,    90340.8,    172.264,     689.853,
  211,    94915.8,    172.093,     688.297,
  212,    99723.3,    172.067,     687.744,
  213,   104773.3,    172.110,     686.219,
  214,   110078.3,    172.301,     686.043,
  215,   115653.3,    172.171,     685.202,
  216,   121508.3,    172.153,     684.338,
  217,   127660.8,    172.024,     683.654,
  218,   134125.8,    172.183,     682.403,
  219,   140915.8,    172.187,     681.247,
  220,   148050.8,    172.200,     681.488,
  221,   155545.8,    172.084,     679.274,
  222,   163420.8,    172.049,     678.865,
  223,   171695.8,    172.283,     678.275,
  224,   180388.3,    171.988,     677.113,
  225,   189520.8,    172.308,     676.691,
  226,   199115.8,    172.201,     676.102,
