----,
DateTime:,      2022/10/23, 18:48:44, 1666511323813,
PIF:,            707.37,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  1102.19,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.211,     315.446,      0.000,
    2,        3.3,    172.329,     320.439,      0.000,
    3,        5.8,    171.688,     325.446,      0.000,
    4,        8.3,    171.950,     329.229,      0.000,
    5,       10.8,    171.932,     332.621,      0.000,
    6,       13.3,    172.097,     336.848,      0.000,
    7,       15.8,    172.113,     340.054,      0.000,
    8,       18.3,    172.324,     343.912,      0.000,
    9,       20.8,    172.176,     348.745,      0.000,
   10,       23.3,    172.249,     353.321,      0.000,
   11,       25.8,    172.074,     357.155,      0.000,
   12,       28.3,    172.206,     361.415,      0.000,
   13,       30.8,    172.110,     366.052,      0.000,
   14,       33.3,    172.291,     369.541,      0.000,
   15,       35.8,    172.264,     373.463,      0.000,
   16,       38.3,    172.332,     377.439,      0.000,
   17,       40.8,    172.386,     383.039,      0.000,
   18,       43.3,    172.517,     386.497,      0.000,
   19,       45.8,    172.273,     390.434,      0.000,
   20,       48.3,    172.363,     393.685,      0.000,
   21,       50.8,    172.253,     397.330,      0.000,
   22,       53.3,    172.361,     400.620,      0.000,
   23,       55.8,    172.379,     404.842,      0.000,
   24,       58.3,    172.401,     408.611,      0.000,
   25,       60.8,    172.292,     411.500,      0.000,
   26,       63.3,    172.323,     414.294,      0.000,
   27,       65.8,    172.327,     417.309,      0.000,
   28,       68.3,    172.493,     421.486,      0.000,
   29,       70.8,    172.279,     424.026,      0.000,
   30,       73.3,    172.410,     426.854,      0.000,
   31,       75.8,    172.500,     430.246,      0.000,
   32,       78.3,    172.248,     432.573,      0.000,
