----,
DateTime:,      2022/10/23, 18:59:13, 1666511953342,
PIF:,            706.53,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  2076.45,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.070,     513.877,      0.000,
    2,        3.3,    172.353,     523.213,      0.000,
    3,        5.8,    171.777,     532.574,      0.000,
    4,        8.3,    171.975,     539.755,      0.000,
    5,       10.8,    172.119,     547.647,      0.000,
    6,       13.3,    171.960,     555.549,      0.000,
    7,       15.8,    172.203,     563.603,      0.000,
    8,       18.3,    172.253,     571.993,      0.000,
    9,       20.8,    172.137,     579.967,      0.000,
   10,       23.3,    172.243,     588.813,      0.000,
   11,       25.8,    172.164,     597.469,      0.000,
   12,       28.3,    172.265,     605.152,      0.000,
   13,       30.8,    172.363,     613.847,      0.000,
   14,       33.3,    172.188,     621.094,      0.000,
   15,       35.8,    172.323,     628.969,      0.000,
   16,       38.3,    172.229,     636.327,      0.000,
   17,       40.8,    172.283,     642.930,      0.000,
   18,       43.3,    172.383,     650.215,      0.000,
   19,       45.8,    172.235,     656.356,      0.000,
   20,       48.3,    172.325,     662.316,      0.000,
   21,       50.8,    172.377,     668.274,      0.000,
   22,       53.3,    172.421,     675.084,      0.000,
   23,       55.8,    172.373,     680.427,      0.000,
   24,       58.3,    172.363,     687.397,      0.000,
   25,       60.8,    172.448,     691.927,      0.000,
   26,       63.3,    172.511,     697.229,      0.000,
   27,       65.8,    172.322,     702.689,      0.000,
   28,       68.3,    172.359,     707.879,      0.000,
   29,       70.8,    172.338,     712.273,      0.000,
   30,       73.3,    172.405,     717.674,      0.000,
   31,       75.8,    172.334,     722.663,      0.000,
   32,       78.3,    172.340,     726.164,      0.000,
