Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:28:57,    1666510137626,  696.51,     0.0000,      0.0000,  NO DATA,    '01000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     35.743,   643.519,   1256.733,    613.214,  0.4879,  0.9529,   145.66,  0.2000,     0.000,    6.469,  0.000,      232,  0.000,      418,  0.000,     6293, 0.0357,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.448,  1235.07,   552.87,  0.176,      20.00,    0.000,    600.00, 2398.86,   0.000,     0.0,     0.0,     0.0,     0.0,     973,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:29:12,    1666510152543,  710.02,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     32.221,   749.136,   1386.439,    637.303,  0.4597,  0.8507,   141.04,  0.2000,     0.000,    4.528,  0.000,      332,  0.000,      737,  0.000,     3176, 0.0261,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.420,  1115.24,   468.10,  0.210,      20.00,    0.000,    600.00, 2785.57,   0.000,     0.0,     0.0,     0.0,     0.0,     702,    1.9914,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:29:25,    1666510165219,  709.47,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     36.672,   774.669,   1439.454,    664.785,  0.4618,  0.8582,   138.49,  0.2000,     0.000,    4.897,  0.000,      350,  0.000,      800,  0.000,     3460, 0.0231,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.416,  1021.89,   425.16,  0.215,      20.00,    0.000,    600.00, 2931.38,   0.000,     0.0,     0.0,     0.0,     0.0,     707,    1.8449,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:29:38,    1666510177902,  708.32,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     32.474,   788.706,   1466.957,    678.251,  0.4624,  0.8600,   138.72,  0.2000,     0.000,    4.713,  0.000,      346,  0.000,      771,  0.000,     3166, 0.0251,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.417,  1038.77,   433.04,  0.217,      20.00,    0.000,    600.00, 2688.77,   0.000,     0.0,     0.0,     0.0,     0.0,     672,    1.8041,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:29:52,    1666510192609,  729.81,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     49.413,   840.164,   1532.259,    692.095,  0.4517,  0.8238,   141.22,  0.2000,     0.000,    4.512,  0.000,      341,  0.000,      750,  0.000,     2794, 0.0204,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.433,   984.46,   426.31,  0.220,      20.00,    0.000,    600.00, 3351.88,   0.000,     0.0,     0.0,     0.0,     0.0,     619,    1.6225,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:30:05,    1666510205244,  731.19,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     41.572,   840.383,   1539.401,    699.018,  0.4541,  0.8318,   140.25,  0.2000,     0.000,    4.625,  0.000,      341,  0.000,      766,  0.000,     2932, 0.0191,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.433,   966.03,   418.57,  0.225,      20.00,    0.000,    600.00, 3204.50,   0.000,     0.0,     0.0,     0.0,     0.0,     634,    1.6024,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:30:18,    1666510217889,  729.97,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     43.749,   833.619,   1519.470,    685.851,  0.4514,  0.8227,   140.12,  0.2000,     0.000,    4.660,  0.000,      346,  0.000,      769,  0.000,     2936, 0.0203,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.430,   972.06,   418.05,  0.220,      20.00,    0.000,    600.00, 3213.60,   0.000,     0.0,     0.0,     0.0,     0.0,     630,    1.6235,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:30:32,    1666510232639,  759.23,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     35.470,   867.271,   1542.721,    675.450,  0.4378,  0.7788,   142.54,  0.2000,     0.000,    4.376,  0.000,      351,  0.000,      780,  0.000,     2939, 0.0166,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.455,   948.21,   431.24,  0.217,      20.00,    0.000,    600.00, 3009.17,   0.000,     0.0,     0.0,     0.0,     0.0,     672,    1.6778,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:30:45,    1666510245281,  757.97,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     29.216,   865.535,   1543.020,    677.485,  0.4391,  0.7827,   142.91,  0.2000,     0.000,    4.307,  0.000,      341,  0.000,      737,  0.000,     2717, 0.0184,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.455,   976.64,   444.47,  0.219,      20.00,    0.000,    600.00, 2705.57,   0.000,     0.0,     0.0,     0.0,     0.0,     631,    1.6305,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:30:58,    1666510257875,  759.21,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     31.719,   862.362,   1531.061,    668.699,  0.4368,  0.7754,   143.21,  0.2000,     0.000,    4.351,  0.000,      348,  0.000,      764,  0.000,     2844, 0.0180,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.454,   965.53,   438.64,  0.216,      20.00,    0.000,    600.00, 2852.07,   0.000,     0.0,     0.0,     0.0,     0.0,     654,    1.6826,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:31:12,    1666510272617,  814.13,     0.0000,      0.0000,  NO DATA,    '01000,   100.00,    0.00,    0.00,    0.00,    0.00,    0.00,     29.818,   883.155,   1517.935,    634.780,  0.4182,  0.7188,   144.56,  0.2000,     0.000,    4.030,  0.000,      343,  0.000,      725,  0.000,     2724, 0.0193,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.490,  1015.80,   498.00,  0.213,      20.00,    0.000,    600.00, 2866.24,   0.000,     0.0,     0.0,     0.0,     0.0,     676,    1.7946,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:31:25,    1666510285211,  814.00,     0.0000,      0.0000,  NO DATA,    '01000,   100.00,    0.00,    0.00,    0.00,    0.00,    0.00,     28.777,   875.149,   1501.319,    626.170,  0.4171,  0.7155,   144.12,  0.2000,     0.000,    4.129,  0.000,      345,  0.000,      746,  0.000,     2829, 0.0183,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.489,  1005.13,   491.58,  0.209,      20.00,    0.000,    600.00, 2868.62,   0.000,     0.0,     0.0,     0.0,     0.0,     685,    1.8030,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:31:38,    1666510297893,  812.30,     0.0000,      0.0000,  NO DATA,    '01000,   100.00,    0.00,    0.00,    0.00,    0.00,    0.00,     17.160,   865.294,   1481.541,    616.247,  0.4160,  0.7122,   143.90,  0.2000,     0.000,    4.065,  0.000,      343,  0.000,      725,  0.000,     2835, 0.0182,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.487,  1010.77,   491.75,  0.208,      20.00,    0.000,    600.00, 2258.70,   0.000,     0.0,     0.0,     0.0,     0.0,     697,    1.7974,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:31:52,    1666510312651,  861.65,     0.0000,      0.0000,  NO DATA,    '01000,   150.00,    0.00,    0.00,    0.00,    0.00,    0.00,     33.870,   874.752,   1466.089,    591.337,  0.4033,  0.6760,   144.77,  0.2000,     0.000,    3.887,  0.000,      335,  0.000,      699,  0.000,     2866, 0.0192,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.524,  1040.96,   545.27,  0.210,      20.00,    0.000,    600.00, 3235.95,   0.000,     0.0,     0.0,     0.0,     0.0,     737,    1.8878,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:32:05,    1666510325237,  858.76,     0.0000,      0.0000,  NO DATA,    '01000,   150.00,    0.00,    0.00,    0.00,    0.00,    0.00,     20.826,   870.108,   1457.171,    587.063,  0.4029,  0.6747,   144.64,  0.2000,     0.000,    3.858,  0.000,      336,  0.000,      689,  0.000,     2710, 0.0205,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.518,  1069.16,   554.35,  0.207,      20.00,    0.000,    600.00, 2587.33,   0.000,     0.0,     0.0,     0.0,     0.0,     702,    1.8967,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:32:18,    1666510337851,  856.50,     0.0000,      0.0000,  NO DATA,    '01000,   150.00,    0.00,    0.00,    0.00,    0.00,    0.00,     21.335,   866.307,   1447.580,    581.273,  0.4015,  0.6710,   145.53,  0.2000,     0.000,    3.832,  0.000,      337,  0.000,      694,  0.000,     2763, 0.0199,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.521,  1053.22,   549.19,  0.203,      20.00,    0.000,    600.00, 2605.93,   0.000,     0.0,     0.0,     0.0,     0.0,     721,    1.9104,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:32:32,    1666510352590,  961.08,     0.0000,      0.0000,  NO DATA,    '01000,   250.00,    0.00,    0.00,    0.00,    0.00,    0.00,     25.310,   893.032,   1437.238,    544.206,  0.3786,  0.6094,   144.80,  0.2000,     0.000,    3.740,  0.000,      322,  0.000,      620,  0.000,     2709, 0.0250,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.569,  1153.53,   656.34,  0.207,      20.00,    0.000,    600.00, 3093.04,   0.000,     0.0,     0.0,     0.0,     0.0,     725,    1.9993,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:32:45,    1666510365220,  955.16,     0.0000,      0.0000,  NO DATA,    '01000,   250.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.277,   879.097,   1415.219,    536.122,  0.3788,  0.6099,   145.58,  0.2000,     0.000,    3.825,  0.000,      321,  0.000,      636,  0.000,     2872, 0.0229,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.578,  1121.36,   648.00,  0.206,      20.00,    0.000,    600.00, 2636.76,   0.000,     0.0,     0.0,     0.0,     0.0,     751,    1.9948,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:32:58,    1666510377952,  951.20,     0.0000,      0.0000,  NO DATA,    '01000,   250.00,    0.00,    0.00,    0.00,    0.00,    0.00,     22.812,   865.799,   1392.057,    526.259,  0.3780,  0.6078,   144.77,  0.2000,     0.000,    3.726,  0.000,      323,  0.000,      619,  0.000,     2645, 0.0247,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.566,  1161.77,   657.97,  0.201,      20.00,    0.000,    600.00, 2900.93,   0.000,     0.0,     0.0,     0.0,     0.0,     710,    1.9993,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:33:12,    1666510392793, 1191.28,     0.0000,      0.0000,  NO DATA,    '01000,   500.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.669,   921.514,   1382.431,    460.917,  0.3334,  0.5002,   144.05,  0.2000,     0.000,    3.799,  0.000,      313,  0.000,      549,  0.000,     3303, 0.0290,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.721,  1126.21,   812.17,  0.192,      20.00,    0.000,    600.00, 2586.72,   0.000,     0.0,     0.0,     0.0,     0.0,     869,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:33:25,    1666510405448, 1176.08,     0.0000,      0.0000,  NO DATA,    '01000,   500.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.661,   906.071,   1365.822,    459.750,  0.3366,  0.5074,   144.05,  0.2000,     0.000,    3.907,  0.000,      307,  0.000,      544,  0.000,     3167, 0.0286,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.711,  1172.57,   833.25,  0.196,      20.00,    0.000,    600.00, 2262.31,   0.000,     0.0,     0.0,     0.0,     0.0,     811,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:33:38,    1666510418081, 1165.02,     0.0000,      0.0000,  NO DATA,    '01000,   500.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.361,   898.113,   1360.971,    462.858,  0.3401,  0.5154,   145.33,  0.2000,     0.000,    3.887,  0.000,      302,  0.000,      536,  0.000,     3146, 0.0276,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.720,  1173.38,   845.07,  0.197,      20.00,    0.000,    600.00, 2489.36,   0.000,     0.0,     0.0,     0.0,     0.0,     809,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:33:53,    1666510432835, 1395.91,     0.0000,      0.0000,  NO DATA,    '01000,   750.00,    0.00,    0.00,    0.00,    0.00,    0.00,     16.802,   945.819,   1362.124,    416.305,  0.3056,  0.4402,   143.48,  0.2000,     0.000,    3.992,  0.000,      301,  0.000,      535,  0.000,     4040, 0.0297,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.893,  1073.76,   958.41,  0.186,      20.00,    0.000,    600.00, 3317.50,   0.000,     0.0,     0.0,     0.0,     0.0,    1012,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:34:05,    1666510445532, 1368.25,     0.0000,      0.0000,  NO DATA,    '01000,   750.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.104,   919.651,   1329.793,    410.142,  0.3084,  0.4460,   142.94,  0.2000,     0.000,    4.059,  0.000,      296,  0.000,      521,  0.000,     3818, 0.0297,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.868,  1130.42,   980.79,  0.190,      20.00,    0.000,    600.00, 2509.45,   0.000,     0.0,     0.0,     0.0,     0.0,     941,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:34:18,    1666510458201, 1346.65,     0.0000,      0.0000,  NO DATA,    '01000,   750.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.414,   905.495,   1306.543,    401.048,  0.3070,  0.4429,   143.36,  0.2000,     0.000,    3.911,  0.000,      304,  0.000,      504,  0.000,     3568, 0.0299,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.857,  1144.43,   980.51,  0.182,      20.00,    0.000,    600.00, 2694.53,   0.000,     0.0,     0.0,     0.0,     0.0,     912,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:34:33,    1666510473000, 1542.00,     0.0000,      0.0000,  NO DATA,    '01000,  1000.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.875,   927.379,   1293.729,    366.350,  0.2832,  0.3950,   140.61,  0.2000,     0.000,    3.983,  0.000,      297,  0.000,      507,  0.000,     4199, 0.0322,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.007,  1093.34,  1100.79,  0.179,      20.00,    0.000,    600.00, 2511.09,   0.000,     0.0,     0.0,     0.0,     0.0,    1054,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:34:45,    1666510485690, 1508.41,     0.0000,      0.0000,  NO DATA,    '01000,  1000.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.739,   904.634,   1265.395,    360.761,  0.2851,  0.3988,   140.12,  0.2000,     0.000,    4.110,  0.000,      294,  0.000,      502,  0.000,     4223, 0.0308,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.996,  1117.65,  1113.13,  0.181,      20.00,    0.000,    600.00, 2963.95,   0.000,     0.0,     0.0,     0.0,     0.0,    1027,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\127_data.csv                                                                                      ,2022/10/23, 18:34:58,    1666510498434, 1483.19,     0.0000,      0.0000,  NO DATA,    '01000,  1000.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.621,   884.163,   1236.053,    351.889,  0.2847,  0.3980,   140.41,  0.2000,     0.000,    3.963,  0.000,      299,  0.000,      477,  0.000,     3671, 0.0325,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.952,  1184.10,  1127.55,  0.176,      20.00,    0.000,    600.00, 2333.26,   0.000,     0.0,     0.0,     0.0,     0.0,     926,    2.0000,
