Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:38:42,    1666510722062,-1327.06,     0.0000,      0.0000,  NO DATA,    '01000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     38.266,   779.479,   1581.392,    801.913,  0.5071,  1.0288,   130.96,  0.2000,     0.000,    4.762,  0.000,      268,  0.000,      482,  0.000,     5746, 0.0393,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.419,  1140.04,   477.78,  0.170,      20.00,    0.000,    600.00, 2375.16,   0.000,     0.0,     0.0,     0.0,     0.0,    1207,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:38:57,    1666510736924,-1301.75,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.574,   894.298,   1673.873,    779.575,  0.4657,  0.8717,   132.51,  0.2000,     0.000,    4.068,  0.000,      362,  0.000,      740,  0.000,     3320, 0.0267,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.401,  1096.81,   439.32,  0.190,      20.00,    0.000,    600.00, 2320.60,   0.000,     0.0,     0.0,     0.0,     0.0,     816,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:39:09,    1666510749564,-1297.98,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     27.723,   904.936,   1698.469,    793.533,  0.4672,  0.8769,   130.77,  0.2000,     0.000,    4.794,  0.000,      396,  0.000,      956,  0.000,     4447, 0.0189,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.400,   939.12,   375.50,  0.193,      20.00,    0.000,    600.00, 2836.84,   0.000,     0.0,     0.0,     0.0,     0.0,     928,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:39:22,    1666510762193,-1300.33,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.898,   903.777,   1691.417,    787.640,  0.4657,  0.8715,   130.21,  0.2000,     0.000,    4.724,  0.000,      394,  0.000,      932,  0.000,     3700, 0.0237,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.395,  1012.35,   400.20,  0.192,      20.00,    0.000,    600.00, 2375.98,   0.000,     0.0,     0.0,     0.0,     0.0,     783,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:39:37,    1666510776929,-1270.11,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     32.698,   946.196,   1723.443,    777.247,  0.4510,  0.8214,   133.45,  0.2000,     0.000,    4.458,  0.000,      405,  0.000,      944,  0.000,     3420, 0.0193,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.411,   971.56,   399.01,  0.188,      20.00,    0.000,    600.00, 3289.88,   0.000,     0.0,     0.0,     0.0,     0.0,     767,    1.9788,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:39:49,    1666510789527,-1273.79,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     23.822,   948.755,   1728.099,    779.344,  0.4510,  0.8214,   133.42,  0.2000,     0.000,    4.607,  0.000,      412,  0.000,      977,  0.000,     3779, 0.0144,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.413,   904.22,   373.81,  0.184,      20.00,    0.000,    600.00, 2732.71,   0.000,     0.0,     0.0,     0.0,     0.0,     820,    1.8975,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:40:02,    1666510802124,-1273.76,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     24.640,   947.498,   1725.905,    778.406,  0.4510,  0.8215,   133.38,  0.2000,     0.000,    4.672,  0.000,      406,  0.000,      965,  0.000,     3373, 0.0189,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.411,   958.91,   394.13,  0.189,      20.00,    0.000,    600.00, 2759.25,   0.000,     0.0,     0.0,     0.0,     0.0,     722,    1.9176,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:40:17,    1666510816897,-1226.81,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.118,   969.989,   1719.572,    749.583,  0.4359,  0.7728,   135.04,  0.2000,     0.000,    4.003,  0.000,      390,  0.000,      891,  0.000,     2895, 0.0192,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.427,  1020.70,   436.18,  0.189,      20.00,    0.000,    600.00, 2280.03,   0.000,     0.0,     0.0,     0.0,     0.0,     723,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:40:29,    1666510829556,-1229.54,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.479,   965.285,   1708.959,    743.674,  0.4352,  0.7704,   134.67,  0.2000,     0.000,    4.335,  0.000,      400,  0.000,      951,  0.000,     3268, 0.0158,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.429,   972.45,   416.90,  0.184,      20.00,    0.000,    600.00, 2051.70,   0.000,     0.0,     0.0,     0.0,     0.0,     754,    1.9899,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:40:42,    1666510842144,-1229.45,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.884,   963.852,   1707.913,    744.061,  0.4357,  0.7720,   135.06,  0.2000,     0.000,    4.127,  0.000,      398,  0.000,      921,  0.000,     2912, 0.0178,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.428,  1003.07,   429.56,  0.189,      20.00,    0.000,    600.00, 2213.32,   0.000,     0.0,     0.0,     0.0,     0.0,     706,    1.9864,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:40:57,    1666510856900,-1149.76,     0.0000,      0.0000,  NO DATA,    '01000,   100.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.048,   986.441,   1684.466,    698.025,  0.4144,  0.7076,   137.35,  0.2000,     0.000,    3.202,  0.000,      360,  0.000,      662,  0.000,     2240, 0.0251,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.452,  1162.12,   525.72,  0.192,      20.00,    0.000,    600.00, 2359.66,   0.000,     0.0,     0.0,     0.0,     0.0,     699,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\128_data.csv                                                                                      ,2022/10/23, 18:41:09,    1666510869489,-1152.13,     0.0000,      0.0000,  NO DATA,    '01000,   100.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.195,   979.773,   1679.344,    699.571,  0.4166,  0.7140,   136.95,  0.2000,     0.000,    3.277,  0.000,      367,  0.000,      706,  0.000,     2304, 0.0224,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.457,  1131.03,   516.39,  0.190,      20.00,    0.000,    600.00, 2420.39,   0.000,     0.0,     0.0,     0.0,     0.0,     703,    2.0000,
