----,
DateTime:,      2022/10/23, 14:05:56, 1666494355835,
PIF:,            695.03,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  2460.76,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.209,     637.781,      0.000,
    2,        3.3,    172.436,     646.505,      0.000,
    3,        5.8,    171.665,     655.251,      0.000,
    4,        8.3,    171.898,     660.819,      0.000,
    5,       10.8,    172.141,     665.962,      0.000,
    6,       13.3,    172.047,     671.358,      0.000,
    7,       15.8,    172.194,     677.060,      0.000,
    8,       18.3,    172.114,     682.546,      0.000,
    9,       20.8,    172.193,     687.955,      0.000,
   10,       23.3,    172.300,     694.537,      0.000,
   11,       25.8,    172.287,     701.309,      0.000,
   12,       28.3,    172.192,     708.483,      0.000,
   13,       30.8,    172.161,     715.249,      0.000,
   14,       33.3,    172.214,     722.484,      0.000,
   15,       35.8,    172.513,     729.616,      0.000,
   16,       38.3,    172.353,     735.415,      0.000,
   17,       40.8,    172.441,     741.981,      0.000,
   18,       43.3,    172.410,     748.416,      0.000,
   19,       45.8,    172.196,     754.843,      0.000,
   20,       48.3,    172.385,     760.100,      0.000,
   21,       50.8,    172.406,     767.070,      0.000,
   22,       53.3,    172.319,     772.716,      0.000,
   23,       55.8,    172.304,     778.300,      0.000,
   24,       58.3,    172.425,     784.563,      0.000,
   25,       60.8,    172.315,     790.226,      0.000,
   26,       63.3,    172.378,     795.373,      0.000,
   27,       65.8,    172.285,     800.743,      0.000,
   28,       68.3,    172.453,     806.708,      0.000,
   29,       70.8,    172.302,     811.528,      0.000,
   30,       73.3,    172.402,     816.260,      0.000,
   31,       75.8,    172.364,     820.755,      0.000,
   32,       78.3,    172.369,     826.150,      0.000,
