----,
DateTime:,      2022/10/23, 17:58:39, 1666508319478,
PIF:,            707.45,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  1667.61,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.227,     481.078,      0.000,
    2,        3.3,    172.409,     487.659,      0.000,
    3,        5.8,    171.800,     494.258,      0.000,
    4,        8.3,    171.933,     498.667,      0.000,
    5,       10.8,    172.011,     503.208,      0.000,
    6,       13.3,    172.144,     507.740,      0.000,
    7,       15.8,    172.225,     512.606,      0.000,
    8,       18.3,    172.048,     517.149,      0.000,
    9,       20.8,    172.255,     522.313,      0.000,
   10,       23.3,    172.199,     527.876,      0.000,
   11,       25.8,    172.379,     532.650,      0.000,
   12,       28.3,    172.221,     536.657,      0.000,
   13,       30.8,    172.157,     542.765,      0.000,
   14,       33.3,    172.242,     547.085,      0.000,
   15,       35.8,    172.408,     551.523,      0.000,
   16,       38.3,    172.249,     555.799,      0.000,
   17,       40.8,    172.271,     561.014,      0.000,
   18,       43.3,    172.177,     564.535,      0.000,
   19,       45.8,    172.385,     569.034,      0.000,
   20,       48.3,    172.507,     572.884,      0.000,
   21,       50.8,    172.365,     576.741,      0.000,
   22,       53.3,    172.344,     580.585,      0.000,
   23,       55.8,    172.490,     584.422,      0.000,
   24,       58.3,    172.319,     588.327,      0.000,
   25,       60.8,    172.371,     591.518,      0.000,
   26,       63.3,    172.337,     594.203,      0.000,
   27,       65.8,    172.277,     597.243,      0.000,
   28,       68.3,    172.379,     601.031,      0.000,
   29,       70.8,    172.293,     604.234,      0.000,
   30,       73.3,    172.425,     606.767,      0.000,
   31,       75.8,    172.354,     610.079,      0.000,
   32,       78.3,    172.360,     612.506,      0.000,
