Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\Chiara Oct 2022\124_data.csv                                                                                      ,2022/10/23, 17:58:39,    1666508319478,  707.45,     0.0000,      0.0000,  NO DATA,    '01000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.164,   474.566,    815.278,    340.712,  0.4179,  0.7179,   140.11,  0.2000,     0.000,    5.422,  0.000,      276,  0.000,      805,  0.000,     7410, 0.0387,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.372,   853.24,   317.44,  0.241,      20.00,    0.000,    600.00, 1667.61,   0.000,     0.0,     0.0,     0.0,     0.0,    1367,    1.9888,
C:\LIFT\DATA\Chiara Oct 2022\124_data.csv                                                                                      ,2022/10/23, 17:58:54,    1666508334306,  720.40,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.972,   504.433,    800.463,    296.030,  0.3698,  0.5869,   156.18,  0.2000,     0.000,    5.434,  0.000,      218,  0.000,      431,  0.000,     2525, 0.0264,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.370,  1383.07,   511.11,  0.210,      20.00,    0.000,    600.00, 1955.82,   0.000,     0.0,     0.0,     0.0,     0.0,     465,    1.6022,
C:\LIFT\DATA\Chiara Oct 2022\124_data.csv                                                                                      ,2022/10/23, 17:59:07,    1666508346941,  719.61,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.686,   508.284,    805.650,    297.366,  0.3691,  0.5850,   155.09,  0.2000,     0.000,    5.128,  0.000,      236,  0.000,      485,  0.000,     2367, 0.0263,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.367,  1353.32,   496.19,  0.210,      20.00,    0.000,    600.00, 1882.24,   0.000,     0.0,     0.0,     0.0,     0.0,     462,    1.6826,
C:\LIFT\DATA\Chiara Oct 2022\124_data.csv                                                                                      ,2022/10/23, 17:59:19,    1666508359575,  721.44,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.862,   510.017,    807.596,    297.578,  0.3685,  0.5835,   153.57,  0.2000,     0.000,    4.868,  0.000,      233,  0.000,      451,  0.000,     2214, 0.0264,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.362,  1372.24,   497.16,  0.209,      20.00,    0.000,    600.00, 1756.07,   0.000,     0.0,     0.0,     0.0,     0.0,     455,    1.6077,
C:\LIFT\DATA\Chiara Oct 2022\124_data.csv                                                                                      ,2022/10/23, 17:59:34,    1666508374358,  736.36,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.964,   525.707,    816.815,    291.108,  0.3564,  0.5537,   152.71,  0.2000,     0.000,    4.571,  0.000,      256,  0.000,      521,  0.000,     2252, 0.0214,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.360,  1293.01,   465.39,  0.208,      20.00,    0.000,    600.00, 1525.40,   0.000,     0.0,     0.0,     0.0,     0.0,     493,    1.7161,
C:\LIFT\DATA\Chiara Oct 2022\124_data.csv                                                                                      ,2022/10/23, 17:59:47,    1666508387068,  735.57,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.775,   525.249,    816.778,    291.529,  0.3569,  0.5550,   153.22,  0.2000,     0.000,    4.569,  0.000,      246,  0.000,      458,  0.000,     2019, 0.0237,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.361,  1344.30,   484.81,  0.204,      20.00,    0.000,    600.00, 1956.26,   0.000,     0.0,     0.0,     0.0,     0.0,     442,    1.5870,
C:\LIFT\DATA\Chiara Oct 2022\124_data.csv                                                                                      ,2022/10/23, 17:59:59,    1666508399694,  733.52,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.667,   526.227,    817.589,    291.362,  0.3564,  0.5537,   153.23,  0.2000,     0.000,    4.509,  0.000,      257,  0.000,      507,  0.000,     2293, 0.0209,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.362,  1271.41,   459.63,  0.208,      20.00,    0.000,    600.00, 2067.38,   0.000,     0.0,     0.0,     0.0,     0.0,     508,    1.6902,
C:\LIFT\DATA\Chiara Oct 2022\124_data.csv                                                                                      ,2022/10/23, 18:00:14,    1666508414421,  757.38,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.617,   538.477,    819.371,    280.895,  0.3428,  0.5216,   152.58,  0.2000,     0.000,    4.344,  0.000,      264,  0.000,      487,  0.000,     2142, 0.0210,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.362,  1315.93,   476.86,  0.201,      20.00,    0.000,    600.00, 1833.17,   0.000,     0.0,     0.0,     0.0,     0.0,     493,    1.7200,
C:\LIFT\DATA\Chiara Oct 2022\124_data.csv                                                                                      ,2022/10/23, 18:00:27,    1666508427040,  756.28,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.945,   536.951,    816.848,    279.897,  0.3427,  0.5213,   152.05,  0.2000,     0.000,    4.264,  0.000,      264,  0.000,      494,  0.000,     2084, 0.0208,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.361,  1329.28,   479.39,  0.200,      20.00,    0.000,    600.00, 1506.43,   0.000,     0.0,     0.0,     0.0,     0.0,     489,    1.7417,
