----,
DateTime:,      2022/10/23, 13:28:33, 1666492113339,
PIF:,          -1339.94,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    1, 
S/N Ratio:,  2534.47,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.089,     892.240,      0.000,
    2,        3.3,    172.384,     907.583,      0.000,
    3,        5.8,    171.810,     922.948,      0.000,
    4,        8.3,    171.946,     928.659,      0.000,
    5,       10.8,    172.091,     941.764,      0.000,
    6,       13.3,    172.193,     955.929,      0.000,
    7,       15.8,    172.275,     969.536,      0.000,
    8,       18.3,    172.293,     983.412,      0.000,
    9,       20.8,    172.209,     997.953,      0.000,
   10,       23.3,    172.349,    1012.116,      0.000,
   11,       25.8,    172.172,    1026.917,      0.000,
   12,       28.3,    172.306,    1041.494,      0.000,
   13,       30.8,    172.308,    1055.481,      0.000,
   14,       33.3,    172.328,    1068.631,      0.000,
   15,       35.8,    172.398,    1083.585,      0.000,
   16,       38.3,    172.336,    1096.992,      0.000,
   17,       40.8,    172.555,    1110.116,      0.000,
   18,       43.3,    172.328,    1121.512,      0.000,
   19,       45.8,    172.343,    1134.563,      0.000,
   20,       48.3,    172.402,    1145.067,      0.000,
   21,       50.8,    172.357,    1158.639,      0.000,
   22,       53.3,    172.336,    1170.541,      0.000,
   23,       55.8,    172.353,    1180.258,      0.000,
   24,       58.3,    172.311,    1191.340,      0.000,
   25,       60.8,    172.528,    1201.349,      0.000,
   26,       63.3,    172.395,    1212.802,      0.000,
   27,       65.8,    172.433,    1221.896,      0.000,
   28,       68.3,    172.372,    1232.336,      0.000,
   29,       70.8,    172.450,    1241.179,      0.000,
   30,       73.3,    172.354,    1250.218,      0.000,
   31,       75.8,    172.380,    1259.871,      0.000,
