----,
DateTime:,      2022/10/23, 17:47:36, 1666507656034,
PIF:,            707.90,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  1852.88,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.249,     436.256,      0.000,
    2,        3.3,    172.269,     441.878,      0.000,
    3,        5.8,    171.854,     447.517,      0.000,
    4,        8.3,    171.858,     450.978,      0.000,
    5,       10.8,    172.001,     455.207,      0.000,
    6,       13.3,    172.166,     460.103,      0.000,
    7,       15.8,    172.182,     464.242,      0.000,
    8,       18.3,    172.135,     468.760,      0.000,
    9,       20.8,    172.148,     473.044,      0.000,
   10,       23.3,    172.351,     478.572,      0.000,
   11,       25.8,    172.272,     483.368,      0.000,
   12,       28.3,    172.275,     488.297,      0.000,
   13,       30.8,    172.309,     492.845,      0.000,
   14,       33.3,    172.231,     497.329,      0.000,
   15,       35.8,    172.236,     501.253,      0.000,
   16,       38.3,    172.239,     505.935,      0.000,
   17,       40.8,    172.294,     510.483,      0.000,
   18,       43.3,    172.328,     515.393,      0.000,
   19,       45.8,    172.374,     519.986,      0.000,
   20,       48.3,    172.335,     523.633,      0.000,
   21,       50.8,    172.355,     527.928,      0.000,
   22,       53.3,    172.301,     531.175,      0.000,
   23,       55.8,    172.318,     535.301,      0.000,
   24,       58.3,    172.244,     539.852,      0.000,
   25,       60.8,    172.296,     543.601,      0.000,
   26,       63.3,    172.327,     546.060,      0.000,
   27,       65.8,    172.267,     550.406,      0.000,
   28,       68.3,    172.272,     554.285,      0.000,
   29,       70.8,    172.283,     557.107,      0.000,
   30,       73.3,    172.253,     560.852,      0.000,
   31,       75.8,    172.279,     564.070,      0.000,
   32,       78.3,    172.188,     567.099,      0.000,
