Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\Chiara Oct 2022\125_data.csv                                                                                      ,2022/10/23, 18:08:45,    1666508925404,  696.67,     0.0000,      0.0000,  NO DATA,    '01000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     44.109,   625.305,   1318.422,    693.117,  0.5257,  1.1084,   148.51,  0.2000,     0.000,    5.758,  0.000,      249,  0.000,      392,  0.000,     5969, 0.0358,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.492,  1161.82,   572.18,  0.151,      20.00,    0.000,    600.00, 2499.09,   0.000,     0.0,     0.0,     0.0,     0.0,    1037,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\125_data.csv                                                                                      ,2022/10/23, 18:09:00,    1666508940249,  706.65,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     34.766,   724.887,   1423.422,    698.535,  0.4907,  0.9636,   143.67,  0.2000,     0.000,    4.663,  0.000,      366,  0.000,      776,  0.000,     3238, 0.0234,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.458,  1044.98,   478.28,  0.187,      20.00,    0.000,    600.00, 2719.28,   0.000,     0.0,     0.0,     0.0,     0.0,     695,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\125_data.csv                                                                                      ,2022/10/23, 18:09:13,    1666508952883,  706.44,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     33.953,   746.824,   1466.811,    719.988,  0.4909,  0.9641,   141.64,  0.2000,     0.000,    5.030,  0.000,      386,  0.000,      838,  0.000,     3419, 0.0194,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.453,   991.92,   448.99,  0.190,      20.00,    0.000,    600.00, 2694.92,   0.000,     0.0,     0.0,     0.0,     0.0,     680,    1.9281,
C:\LIFT\DATA\Chiara Oct 2022\125_data.csv                                                                                      ,2022/10/23, 18:09:25,    1666508965564,  707.31,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     27.642,   754.738,   1481.131,    726.393,  0.4904,  0.9624,   141.76,  0.2000,     0.000,    5.049,  0.000,      385,  0.000,      848,  0.000,     3459, 0.0191,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.453,   987.43,   447.05,  0.191,      20.00,    0.000,    600.00, 2455.15,   0.000,     0.0,     0.0,     0.0,     0.0,     685,    1.9355,
C:\LIFT\DATA\Chiara Oct 2022\125_data.csv                                                                                      ,2022/10/23, 18:09:40,    1666508980290,  726.51,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     33.737,   804.791,   1542.538,    737.747,  0.4783,  0.9167,   144.63,  0.2000,     0.000,    5.114,  0.000,      401,  0.000,      873,  0.000,     3223, 0.0115,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.473,   899.31,   425.04,  0.189,      20.00,    0.000,    600.00, 2784.07,   0.000,     0.0,     0.0,     0.0,     0.0,     630,    1.7477,
C:\LIFT\DATA\Chiara Oct 2022\125_data.csv                                                                                      ,2022/10/23, 18:09:53,    1666508992877,  726.27,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     40.933,   810.521,   1554.212,    743.691,  0.4785,  0.9175,   144.93,  0.2000,     0.000,    5.197,  0.000,      404,  0.000,      877,  0.000,     3604, 0.0067,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.477,   841.69,   401.25,  0.186,      20.00,    0.000,    600.00, 3093.96,   0.000,     0.0,     0.0,     0.0,     0.0,     694,    1.6784,
C:\LIFT\DATA\Chiara Oct 2022\125_data.csv                                                                                      ,2022/10/23, 18:10:05,    1666509005478,  726.87,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     43.871,   814.230,   1559.582,    745.351,  0.4779,  0.9154,   145.19,  0.2000,     0.000,    5.130,  0.000,      398,  0.000,      864,  0.000,     3406, 0.0091,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.476,   864.97,   411.48,  0.186,      20.00,    0.000,    600.00, 3164.34,   0.000,     0.0,     0.0,     0.0,     0.0,     664,    1.6882,
C:\LIFT\DATA\Chiara Oct 2022\125_data.csv                                                                                      ,2022/10/23, 18:10:20,    1666509020237,  752.94,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     30.700,   843.274,   1576.321,    733.047,  0.4650,  0.8693,   148.09,  0.2000,     0.000,    4.722,  0.000,      400,  0.000,      878,  0.000,     3174, 0.0053,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.507,   857.62,   434.82,  0.185,      20.00,    0.000,    600.00, 2768.97,   0.000,     0.0,     0.0,     0.0,     0.0,     672,    1.7445,
C:\LIFT\DATA\Chiara Oct 2022\125_data.csv                                                                                      ,2022/10/23, 18:10:33,    1666509032879,  751.87,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     42.843,   840.754,   1573.412,    732.658,  0.4656,  0.8714,   147.42,  0.2000,     0.000,    4.660,  0.000,      396,  0.000,      855,  0.000,     2973, 0.0065,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.504,   874.58,   440.92,  0.185,      20.00,    0.000,    600.00, 3211.79,   0.000,     0.0,     0.0,     0.0,     0.0,     638,    1.7093,
