----,
DateTime:,      2022/10/23, 14:52:11, 1666497131296,
PIF:,            701.15,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  2941.83,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.128,     513.846,      0.000,
    2,        3.3,    172.349,     521.796,      0.000,
    3,        5.8,    171.838,     529.764,      0.000,
    4,        8.3,    171.973,     535.191,      0.000,
    5,       10.8,    172.051,     540.978,      0.000,
    6,       13.3,    172.120,     547.444,      0.000,
    7,       15.8,    172.202,     554.041,      0.000,
    8,       18.3,    172.251,     560.505,      0.000,
    9,       20.8,    172.330,     567.762,      0.000,
   10,       23.3,    172.339,     573.683,      0.000,
   11,       25.8,    172.358,     580.755,      0.000,
   12,       28.3,    172.231,     587.435,      0.000,
   13,       30.8,    172.232,     594.778,      0.000,
   14,       33.3,    172.350,     601.353,      0.000,
   15,       35.8,    172.419,     607.900,      0.000,
   16,       38.3,    172.325,     614.020,      0.000,
   17,       40.8,    172.445,     620.438,      0.000,
   18,       43.3,    172.317,     626.273,      0.000,
   19,       45.8,    172.234,     632.380,      0.000,
   20,       48.3,    172.357,     636.923,      0.000,
   21,       50.8,    172.507,     643.117,      0.000,
   22,       53.3,    172.324,     648.614,      0.000,
   23,       55.8,    172.341,     652.752,      0.000,
   24,       58.3,    172.331,     658.041,      0.000,
   25,       60.8,    172.351,     663.216,      0.000,
   26,       63.3,    172.317,     667.584,      0.000,
   27,       65.8,    172.257,     672.458,      0.000,
   28,       68.3,    172.424,     677.485,      0.000,
   29,       70.8,    172.436,     681.283,      0.000,
   30,       73.3,    172.373,     686.361,      0.000,
   31,       75.8,    172.334,     690.830,      0.000,
   32,       78.3,    172.373,     694.923,      0.000,
