Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\Chiara Oct 2022\121_data.csv                                                                                      ,2022/10/23, 17:23:32,    1666506211970,  701.55,     0.0000,      0.0000,  NO DATA,    '01000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.342,   418.636,    893.593,    474.957,  0.5315,  1.1345,   150.30,  0.2000,     0.000,    7.366,  0.000,      390,  0.000,      853,  0.000,     6299, 0.0543,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.512,   578.38,   296.02,  0.195,      20.00,    0.000,    600.00, 1939.30,   0.000,     0.0,     0.0,     0.0,     0.0,     855,    1.1694,
C:\LIFT\DATA\Chiara Oct 2022\121_data.csv                                                                                      ,2022/10/23, 17:23:47,    1666506226919,  709.80,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     24.501,   522.969,    844.534,    321.565,  0.3808,  0.6149,   168.76,  0.2000,     0.000,   50.000,  0.000,     1255,  0.000,     1255,  0.000,     1000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.441,   370.92,   163.41,  0.079,      20.00,    0.000,    600.00, 1705.83,   0.000,     0.0,     0.0,     0.0,     0.0,      20,    1.0000,
C:\LIFT\DATA\Chiara Oct 2022\121_data.csv                                                                                      ,2022/10/23, 17:23:59,    1666506239741,  712.58,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     38.196,   525.115,    848.878,    323.763,  0.3814,  0.6166,   168.24,  0.2000,     0.000,   50.000,  0.000,     1171,  0.000,     1225,  0.000,     1000, 0.0010,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.438,   390.20,   171.07,  0.082,      20.00,    0.001,    600.00, 2164.03,   0.000,     0.0,     0.0,     0.0,     0.0,      20,    1.0000,
C:\LIFT\DATA\Chiara Oct 2022\121_data.csv                                                                                      ,2022/10/23, 17:24:12,    1666506252356,  713.32,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     31.670,   526.394,    850.511,    324.117,  0.3811,  0.6157,   168.60,  0.2000,     0.000,   50.000,  0.000,     1151,  0.000,     1220,  0.000,     1000, 0.0017,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.439,   393.48,   172.61,  0.083,      20.00,    0.001,    600.00, 2006.98,   0.000,     0.0,     0.0,     0.0,     0.0,      20,    1.0000,
C:\LIFT\DATA\Chiara Oct 2022\121_data.csv                                                                                      ,2022/10/23, 17:24:27,    1666506267111,  726.78,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.884,   557.825,    911.770,    353.945,  0.3882,  0.6345,   175.03,  0.2000,     0.000,   50.000,  0.000,      461,  0.000,     1279,  0.000,     1000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.483,   519.94,   251.25,  0.192,      20.00,    0.000,    600.00, 1628.41,   0.000,     0.0,     0.0,     0.0,     0.0,      20,    1.0000,
C:\LIFT\DATA\Chiara Oct 2022\121_data.csv                                                                                      ,2022/10/23, 17:24:39,    1666506279765,  725.12,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.915,   555.596,    932.420,    376.825,  0.4041,  0.6782,   174.69,  0.2000,     0.000,    6.996,  0.000,      285,  0.000,     1077,  0.000,     1526, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.496,   582.86,   289.04,  0.205,      20.00,    0.000,    600.00, 2041.35,   0.000,     0.0,     0.0,     0.0,     0.0,     218,    1.0000,
C:\LIFT\DATA\Chiara Oct 2022\121_data.csv                                                                                      ,2022/10/23, 17:24:52,    1666506292342,  725.26,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.295,   557.207,    906.222,    349.015,  0.3851,  0.6264,   176.23,  0.2000,     0.000,   50.000,  0.000,      461,  0.000,     1215,  0.000,     1000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.481,   536.73,   257.98,  0.174,      20.00,    0.000,    600.00, 2219.61,   0.000,     0.0,     0.0,     0.0,     0.0,      20,    1.0000,
C:\LIFT\DATA\Chiara Oct 2022\121_data.csv                                                                                      ,2022/10/23, 17:25:07,    1666506307067,  741.84,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.323,   571.848,    921.064,    349.217,  0.3791,  0.6107,   182.13,  0.2000,     0.000,    3.478,  0.000,      301,  0.000,      836,  0.000,     1000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.520,   621.80,   323.07,  0.169,      20.00,    0.000,    600.00, 2002.25,   0.000,     0.0,     0.0,     0.0,     0.0,     288,    1.0000,
C:\LIFT\DATA\Chiara Oct 2022\121_data.csv                                                                                      ,2022/10/23, 17:25:19,    1666506319712,  743.37,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.221,   568.509,    918.082,    349.573,  0.3808,  0.6149,   183.06,  0.2000,     0.000,    3.170,  0.000,      292,  0.000,      792,  0.000,     1043, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.524,   623.70,   326.67,  0.169,      20.00,    0.000,    600.00, 1954.03,   0.000,     0.0,     0.0,     0.0,     0.0,     329,    1.0000,
