Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\Chiara Oct 2022\126_data.csv                                                                                      ,2022/10/23, 18:18:45,    1666509524815,  703.80,     0.0000,      0.0000,  NO DATA,    '01000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     19.290,   505.477,   1063.083,    557.607,  0.5245,  1.1031,   108.54,  0.2000,     0.000,    5.540,  0.000,      307,  0.000,      611,  0.000,     5367, 0.0393,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.357,  1411.00,   504.31,  0.187,      20.00,    0.000,    600.00, 2208.70,   0.000,     0.0,     0.0,     0.0,     0.0,     969,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\126_data.csv                                                                                      ,2022/10/23, 18:18:59,    1666509539657,  715.46,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.828,   591.239,   1093.804,    502.566,  0.4595,  0.8500,   113.80,  0.2000,     0.000,    8.008,  0.000,      453,  0.000,      992,  0.000,     4760, 0.0091,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.344,   945.17,   324.83,  0.186,      20.00,    0.000,    600.00, 2037.41,   0.000,     0.0,     0.0,     0.0,     0.0,     594,    1.4749,
C:\LIFT\DATA\Chiara Oct 2022\126_data.csv                                                                                      ,2022/10/23, 18:19:12,    1666509552267,  716.10,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     19.639,   601.037,   1110.757,    509.721,  0.4589,  0.8481,   112.99,  0.2000,     0.000,    9.064,  0.000,      461,  0.000,      989,  0.000,     4688, 0.0113,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.341,   957.71,   326.24,  0.189,      20.00,    0.000,    600.00, 2610.43,   0.000,     0.0,     0.0,     0.0,     0.0,     517,    1.4228,
C:\LIFT\DATA\Chiara Oct 2022\126_data.csv                                                                                      ,2022/10/23, 18:19:25,    1666509564873,  715.15,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.128,   603.394,   1115.602,    512.208,  0.4591,  0.8489,   112.86,  0.2000,     0.000,    8.351,  0.000,      458,  0.000,      981,  0.000,     4796, 0.0085,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.341,   925.22,   315.62,  0.192,      20.00,    0.000,    600.00, 2450.89,   0.000,     0.0,     0.0,     0.0,     0.0,     574,    1.3949,
C:\LIFT\DATA\Chiara Oct 2022\126_data.csv                                                                                      ,2022/10/23, 18:19:39,    1666509579619,  730.18,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.885,   633.836,   1133.736,    499.900,  0.4409,  0.7887,   115.97,  0.2000,     0.000,    8.113,  0.000,      451,  0.000,     1003,  0.000,     4267, 0.0006,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.355,   905.24,   321.73,  0.195,      20.00,    0.000,    600.00, 2150.99,   0.000,     0.0,     0.0,     0.0,     0.0,     526,    1.3760,
C:\LIFT\DATA\Chiara Oct 2022\126_data.csv                                                                                      ,2022/10/23, 18:19:52,    1666509592236,  729.72,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.325,   633.826,   1134.343,    500.517,  0.4412,  0.7897,   115.66,  0.2000,     0.000,    8.690,  0.000,      454,  0.000,      995,  0.000,     4200, 0.0004,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.355,   904.83,   321.06,  0.192,      20.00,    0.000,    600.00, 2258.88,   0.000,     0.0,     0.0,     0.0,     0.0,     483,    1.3286,
C:\LIFT\DATA\Chiara Oct 2022\126_data.csv                                                                                      ,2022/10/23, 18:20:05,    1666509604887,  731.37,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.808,   633.309,   1133.181,    499.872,  0.4411,  0.7893,   115.12,  0.2000,     0.000,    8.239,  0.000,      453,  0.000,     1002,  0.000,     4126, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.353,   901.45,   318.52,  0.195,      20.00,    0.000,    600.00, 2169.68,   0.000,     0.0,     0.0,     0.0,     0.0,     501,    1.3325,
C:\LIFT\DATA\Chiara Oct 2022\126_data.csv                                                                                      ,2022/10/23, 18:20:19,    1666509619652,  753.89,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.628,   649.623,   1129.780,    480.158,  0.4250,  0.7391,   118.51,  0.2000,     0.000,    7.607,  0.000,      442,  0.000,     1013,  0.000,     3746, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.376,   967.41,   363.50,  0.189,      20.00,    0.000,    600.00, 2627.26,   0.000,     0.0,     0.0,     0.0,     0.0,     492,    1.5150,
C:\LIFT\DATA\Chiara Oct 2022\126_data.csv                                                                                      ,2022/10/23, 18:20:32,    1666509632235,  753.07,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.732,   646.821,   1125.877,    479.056,  0.4255,  0.7406,   117.87,  0.2000,     0.000,    7.853,  0.000,      442,  0.000,     1013,  0.000,     3376, 0.0020,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.373,   995.05,   370.83,  0.190,      20.00,    0.000,    600.00, 2249.85,   0.000,     0.0,     0.0,     0.0,     0.0,     430,    1.4982,
